Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00716573756770271,-2.9099431077762E-05,-0.415011659932207,0,0,0,70.682775791409,5.13010017981533,-0.000141354477973953,0.0124975847017774,5.01300695006683,-1.09132728215643E-05,1.10892228914382,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1_L,-0.069974,-9.9558E-15,-9.8317E-08,0,0,0,2.1647,0.009558,1.0616E-17,-6.4714E-09,0.0085219,-7.8978E-08,0.009611,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link1_L.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link1_L.STL,,shoulder_1-2,Origin_joint1_L,Axis_joint1_L,joint1_L,revolute,0,0,0.2193,1.5708,1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
link2_L,-8.52176612942124E-07,-0.00923313662940145,0.087721274166973,0,0,0,6.41556238455926,0.0189047137914835,7.03319326333033E-07,2.96179875088153E-07,0.0219613092391982,-5.93929218982922E-05,0.0221211000793166,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link2_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link2_L.STL,,arm_1-2,Origin_joint2_L,Axis_joint2_L,joint2_L,revolute,-0.13,0,0,-3.1416,0,0,link1_L,0,1,0,0,0,0,0,,,,,,,,
link3_L,0.00146051545076792,-0.00224108091942369,0.0756324792071881,0,0,0,2.23914669678434,0.0125636087347409,3.92949465076981E-05,5.92768065432416E-05,0.0191517678991212,0.000592673626123706,0.0172089468264743,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link3_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link3_L.STL,,arm_2-1,Origin_joint3_L,Axis_joint3_L,joint3_L,revolute,0,-0.01,0.3365,0,0,0,link2_L,0,0,1,0,0,0,0,,,,,,,,
link4_L,0.00249933527446095,0.0303551779121173,0.119720716192579,0,0,0,8.95470558094895,0.0648784215418725,9.69863129300788E-05,0.00020872650898827,0.0610715466776653,0.00492202866325739,0.0284843315488824,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link4_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link4_L.STL,,arm_3-2,Origin_joint4_L,Axis_joint4_L,joint4_L,revolute,0,-0.04,0.1635,0,0,0,link3_L,1,0,0,0,0,0,0,,,,,,,,
link5_L,4.44425177388574E-09,-7.61522507275458E-08,-0.0595122507878516,0,0,0,0.422768403685522,0.00162753776815377,-2.11752864575193E-09,2.47959252826835E-11,0.00080181103924984,-5.56167985673417E-10,0.00152360991291063,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link5_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link5_L.STL,,arm_4-2,Origin_joint5_L,Axis_joint5_L,joint5_L,revolute,0.0007,0.040214,0.31458,3.1416,0,-1.5708,link4_L,0,0,1,0,0,0,0,,,,,,,,
link6_L,-0.0014045263258854,-0.00170749587709312,0.0459800919982942,0,0,0,1.25667250705436,0.00136574345337923,4.60292478446895E-07,-3.39294259308594E-07,0.00136265761221974,8.73421335695054E-07,0.00105796554285555,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link6_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link6_L.STL,,arm_5-2,Origin_joint6_L,Axis_joint6_L,joint6_L,revolute,0,0,-0.09342,-3.1416,0,0,link5_L,0,1,0,0,0,0,0,,,,,,,,
link1_R,-0.0699738310116565,-8.53848646211173E-15,-9.83169839936003E-08,0,0,0,2.16473282696776,0.00955796112462998,2.22909044458134E-17,-6.47138395513971E-09,0.00852189765023734,-7.89777222513784E-08,0.00961099140955953,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link1_R.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link1_R.STL,,shoulder_1-1,Origin_joint1_R,Axis_joint1_R,joint1_R,revolute,0,0,-0.2193,1.5708,-1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
link2_R,-8.52176813059824E-07,-0.00923313662923845,0.0877212741650941,0,0,0,6.41556238466694,0.0189047137918427,7.03319425028731E-07,2.96179841776782E-07,0.0219613092394602,-5.93929217885607E-05,0.0221211000795042,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link2_R.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link2_R.STL,,arm_1-3,Origin_joint2_R,Axis_joint2_R,joint2_R,revolute,-0.13,0,0,3.1416,0,3.1416,link1_R,0,1,0,0,0,0,0,,,,,,,,
link3_R,0.00146051545076814,-0.00224108091942816,0.0756324792071895,0,0,0,2.23914669678434,0.0125636087347409,3.92949465076942E-05,5.9276806543247E-05,0.0191517678991212,0.00059267362612371,0.0172089468264743,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link3_R.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link3_R.STL,,arm_2-2,Origin_joint3_R,Axis_joint3_R,joint3_R,revolute,0,-0.01,0.3365,0,0,0,link2_R,0,0,1,0,0,0,0,,,,,,,,
link4_R,0.00249934364492849,0.0303551695897074,0.1197207350621,0,0,0,8.95470259701728,0.0648784140839056,9.69793920833666E-05,0.000208718611013852,0.0610715315707127,0.00492203379977566,0.028484329352906,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link4_R.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link4_R.STL,,arm_3-1,Origin_joint4_R,Axis_joint4_R,joint4_R,revolute,0,-0.04,0.1635,0,0,0,link3_R,1,0,0,0,0,0,0,,,,,,,,
link5_R,4.4442441966136E-09,-7.61522512271462E-08,-0.0595122507878513,0,0,0,0.422768403685522,0.00162753776815377,-2.11752864531502E-09,2.47959255738915E-11,0.00080181103924984,-5.56167986023631E-10,0.00152360991291062,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link5_R.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link5_R.STL,,arm_4-1,Origin_joint5_R,Axis_joint5_R,joint5_R,revolute,0.0007,0.040214,0.31458,3.1416,0,-1.5708,link4_R,0,0,1,0,0,0,0,,,,,,,,
link6_R,-0.00170452632610696,-0.00140749587648419,-0.0460199080035851,0,0,0,1.25667250710581,0.00136574345341931,4.60292487631211E-07,-3.39294262307682E-07,0.00136265761222389,8.73421340527192E-07,0.00105796554289399,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link6_R.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_urdf_assemble/meshes/link6_R.STL,,arm_5-1,Origin_joint6_R,Axis_joint6_R,joint6_R,revolute,0,0,-0.09342,0,0,-1.5708,link5_R,1,0,0,0,0,0,0,,,,,,,,
